RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,SEED,POSTSEASON
123,Duquesne,A10,32,13,106.4,102.7,0.6006,50,50.2,18.3,20,A10,32,13,106.4,102.7,0.6006,50,50.2,18.3,20,32.9,30.7,N/A,
124,Kennesaw St.,CUSA,33,19,107.1,103.4,0.5995,49.3,48.3,19.7,15.1,CUSA,33,19,107.1,103.4,0.5995,49.3,48.3,19.7,15.1,32.5,27.4,N/A,
125,Cornell,Ivy,29,18,114.7,110.8,0.5967,58.7,52.2,16.8,15.3,Ivy,29,18,114.7,110.8,0.5967,58.7,52.2,16.8,15.3,25.5,28.9,N/A,
126,Nebraska Omaha,Sum,34,22,112.2,108.4,0.5964,53.5,53.1,15.7,14.9,Sum,34,22,112.2,108.4,0.5964,53.5,53.1,15.7,14.9,29.2,25.4,15,
127,Kent St.,MAC,33,22,105.5,102.1,0.5944,48.7,48.4,17.3,18.9,MAC,33,22,105.5,102.1,0.5944,48.7,48.4,17.3,18.9,35.7,28.3,N/A,
128,Cal St. Northridge,BW,32,22,107.7,104.4,0.5896,51.8,49.9,18.9,20.5,BW,32,22,107.7,104.4,0.5896,51.8,49.9,18.9,20.5,35.4,24.1,N/A,
129,South Dakota St.,Sum,32,20,109.7,106.4,0.5869,53.6,50.9,17.6,12.7,Sum,32,20,109.7,106.4,0.5869,53.6,50.9,17.6,12.7,33.6,21.4,N/A,
130,Belmont,MVC,33,22,111.9,108.5,0.5868,54.8,53.7,15.9,17.6,MVC,33,22,111.9,108.5,0.5868,54.8,53.7,15.9,17.6,27.2,29.4,N/A,
131,Illinois St.,MVC,33,19,112.1,108.8,0.5829,56,53.8,15.8,16.7,MVC,33,19,112.1,108.8,0.5829,56,53.8,15.8,16.7,24.6,24.9,N/A,
132,Jacksonville St.,CUSA,34,22,108,105.1,0.5782,49.6,49.4,15.7,13.3,CUSA,34,22,108,105.1,0.5782,49.6,49.4,15.7,13.3,30.9,26.5,N/A,
133,Montana,BSky,34,25,112,109,0.5779,56.4,52.2,16.2,15.5,BSky,34,25,112,109,0.5779,56.4,52.2,16.2,15.5,22.6,29,14,
134,Louisiana Tech,CUSA,32,20,107.7,105,0.5728,52.5,47.8,18.9,14.7,CUSA,32,20,107.7,105,0.5728,52.5,47.8,18.9,14.7,29.3,28.7,N/A,
135,Chattanooga,SC,33,24,114,111.2,0.5725,56.5,51.2,15.4,16.2,SC,33,24,114,111.2,0.5725,56.5,51.2,15.4,16.2,25.8,29.9,N/A,
136,South Alabama,SB,32,21,106.1,103.6,0.5684,50.8,48.5,14.6,20.6,SB,32,21,106.1,103.6,0.5684,50.8,48.5,14.6,20.6,28.3,32.2,N/A,
137,Samford,SC,32,22,110.4,108,0.5635,54.6,53.2,18.3,21.8,SC,32,22,110.4,108,0.5635,54.6,53.2,18.3,21.8,34.6,33.5,N/A,
138,Tulane,Amer,33,19,108.4,106.1,0.5603,52.1,48.4,15.9,17.4,Amer,33,19,108.4,106.1,0.5603,52.1,48.4,15.9,17.4,27.2,32.4,N/A,
139,Seattle,WAC,32,14,103,101,0.5584,46.5,51.2,17,20.9,WAC,32,14,103,101,0.5584,46.5,51.2,17,20.9,29.9,27,N/A,
140,Wichita St.,Amer,33,19,105.8,103.7,0.5582,48.7,49.9,16.4,15.7,Amer,33,19,105.8,103.7,0.5582,48.7,49.9,16.4,15.7,31.9,28.4,N/A,
141,Furman,SC,34,25,109.2,107.3,0.5515,53.6,49.2,17,16.5,SC,34,25,109.2,107.3,0.5515,53.6,49.2,17,16.5,30,31,N/A,
142,Davidson,A10,33,17,109.3,107.4,0.5513,52.4,52.3,14.6,15.4,A10,33,17,109.3,107.4,0.5513,52.4,52.3,14.6,15.4,24.4,26.9,N/A,
143,UTEP,CUSA,33,18,105.8,104,0.5501,49.3,52.4,16.6,22,CUSA,33,18,105.8,104,0.5501,49.3,52.4,16.6,22,25.4,32.4,N/A,
144,Virginia Tech,ACC,32,13,106.5,104.7,0.5493,51.2,52.3,20.1,16.2,ACC,32,13,106.5,104.7,0.5493,51.2,52.3,20.1,16.2,31,29.2,N/A,
145,Wofford,SC,34,19,111.5,109.7,0.5466,53.3,51.8,16.9,14.9,SC,34,19,111.5,109.7,0.5466,53.3,51.8,16.9,14.9,35.5,26.2,15,
146,Miami OH,MAC,34,25,107.8,106.4,0.5364,55.4,51.3,17.4,19.1,MAC,34,25,107.8,106.4,0.5364,55.4,51.3,17.4,19.1,27.5,29,N/A,
147,UC Santa Barbara,BW,34,21,108.7,107.3,0.5353,54.6,48.9,18.2,17.2,BW,34,21,108.7,107.3,0.5353,54.6,48.9,18.2,17.2,27.5,29.2,N/A,
148,Loyola Marymount,WCC,32,17,104.2,103.1,0.53,50.2,48.5,15.2,15.7,WCC,32,17,104.2,103.1,0.53,50.2,48.5,15.2,15.7,22.8,30.9,N/A,
149,Robert Morris,Horz,34,26,105.9,105,0.5238,51.3,50.3,18.5,18.8,Horz,34,26,105.9,105,0.5238,51.3,50.3,18.5,18.8,35.3,28.3,15,
150,Texas A&M Corpus Chris,Slnd,34,20,105.8,105,0.5237,52.8,49.9,17.8,18.3,Slnd,34,20,105.8,105,0.5237,52.8,49.9,17.8,18.3,31.9,30.7,N/A,
151,UC Riverside,BW,33,21,109.9,109,0.5225,49.5,51.4,15.8,15.8,BW,33,21,109.9,109,0.5225,49.5,51.4,15.8,15.8,32.2,28.9,N/A,
152,San Jose St.,MWC,34,15,106.9,106.1,0.522,50.6,51.9,17.4,16.6,MWC,34,15,106.9,106.1,0.522,50.6,51.9,17.4,16.6,26.9,32.2,N/A,
153,Bryant,AE,34,23,105.8,105.3,0.5112,51,47.7,16.5,16.4,AE,34,23,105.8,105.3,0.5112,51,47.7,16.5,16.4,34.2,28.8,15,
154,Radford,BSth,33,20,109.8,109.3,0.5108,51.1,51,17.7,16.5,BSth,33,20,109.8,109.3,0.5108,51.1,51,17.7,16.5,33.8,30,N/A,
155,Sam Houston St.,CUSA,32,13,110.3,109.9,0.5102,51,53.1,18.3,17.2,CUSA,32,13,110.3,109.9,0.5102,51,53.1,18.3,17.2,30.3,32.2,N/A,
156,Cal Baptist,WAC,32,17,105,104.6,0.5098,48.3,50.1,17.7,18.1,WAC,32,17,105,104.6,0.5098,48.3,50.1,17.7,18.1,33.3,29.6,N/A,
157,Temple,Amer,32,17,110.5,110.4,0.5026,49.9,50.6,15.7,15.1,Amer,32,17,110.5,110.4,0.5026,49.9,50.6,15.7,15.1,32,31.2,N/A,
158,James Madison,SB,32,20,110,110,0.5013,50.7,50.9,15.8,15.6,SB,32,20,110,110,0.5013,50.7,50.9,15.8,15.6,32,30.5,N/A,
159,Western Kentucky,CUSA,32,17,103.1,103.1,0.501,47.9,47.4,15.5,17,CUSA,32,17,103.1,103.1,0.501,47.9,47.4,15.5,17,23.5,28.1,N/A,
160,Rhode Island,A10,31,18,107.6,107.7,0.4973,52.8,49.3,17.9,16,A10,31,18,107.6,107.7,0.4973,52.8,49.3,17.9,16,28.3,28.6,N/A,
161,Charleston,CAA,33,24,105.2,105.3,0.4969,52.4,50.1,16.2,16.4,CAA,33,24,105.2,105.3,0.4969,52.4,50.1,16.2,16.4,26.5,28.3,N/A,
162,Murray St.,MVC,33,16,104.7,104.9,0.4957,49.3,51.2,16.9,17.3,MVC,33,16,104.7,104.9,0.4957,49.3,51.2,16.9,17.3,29.1,26.4,N/A,
163,Milwaukee,Horz,32,21,106,106.3,0.4931,51.4,51.5,19.4,18.3,Horz,32,21,106,106.3,0.4931,51.4,51.5,19.4,18.3,39.8,26.6,N/A,
164,Appalachian St.,SB,31,17,100.5,100.9,0.4885,49.6,46.1,16.9,14.8,SB,31,17,100.5,100.9,0.4885,49.6,46.1,16.9,14.8,27.6,29.6,N/A,
165,Florida Gulf Coast,ASun,32,18,107.4,108.1,0.4831,53.9,50.5,16.2,14.3,ASun,32,18,107.4,108.1,0.4831,53.9,50.5,16.2,14.3,30,26.5,N/A,
166,East Tennessee St.,SC,32,19,104.8,105.5,0.4824,50.3,50.3,16.1,18.9,SC,32,19,104.8,105.5,0.4824,50.3,50.3,16.1,18.9,35.7,29.8,N/A,
167,Towson,CAA,33,22,106,106.8,0.4801,47.9,50.8,14.5,17.3,CAA,33,22,106,106.8,0.4801,47.9,50.8,14.5,17.3,35.3,28,N/A,
168,Nicholls St.,Slnd,33,20,105.5,106.2,0.4801,48.1,48.1,15.3,16.7,Slnd,33,20,105.5,106.2,0.4801,48.1,48.1,15.3,16.7,30.6,31.5,N/A,
169,Winthrop,BSth,34,23,107.4,108.2,0.4781,53.3,51.4,17.7,18.7,BSth,34,23,107.4,108.2,0.4781,53.3,51.4,17.7,18.7,31.2,31.5,N/A,
170,UNC Greensboro,SC,32,20,105.4,106.2,0.478,50.7,47.8,15.3,16.4,SC,32,20,105.4,106.2,0.478,50.7,47.8,15.3,16.4,31.1,30.1,N/A,
171,Marshall,SB,33,20,105.6,106.6,0.4739,49.9,49.3,16.5,16.8,SB,33,20,105.6,106.6,0.4739,49.9,49.3,16.5,16.8,33,29.6,N/A,
172,Boston College,ACC,31,12,105.2,106.2,0.4713,48.9,51.9,17.3,15.5,ACC,31,12,105.2,106.2,0.4713,48.9,51.9,17.3,15.5,28.8,30,N/A,
173,Cleveland St.,Horz,33,21,102.6,103.6,0.47,49.3,50.6,18.3,22.3,Horz,33,21,102.6,103.6,0.47,49.3,50.6,18.3,22.3,34.5,34.1,N/A,
174,Lamar,Slnd,33,20,101.2,102.3,0.4695,47.2,47.6,19,17.7,Slnd,33,20,101.2,102.3,0.4695,47.2,47.6,19,17.7,35.5,31.8,N/A,
175,Purdue Fort Wayne,Horz,32,19,107.5,108.8,0.4643,54.7,53.3,13.8,20.1,Horz,32,19,107.5,108.8,0.4643,54.7,53.3,13.8,20.1,22,32.8,N/A,
176,Dartmouth,Ivy,28,14,100.5,101.8,0.4627,50.3,49.1,16.2,13.8,Ivy,28,14,100.5,101.8,0.4627,50.3,49.1,16.2,13.8,22.8,24.9,N/A,
177,Eastern Kentucky,ASun,32,18,109.4,110.8,0.4619,49.7,52.6,13.8,17.8,ASun,32,18,109.4,110.8,0.4619,49.7,52.6,13.8,17.8,32.4,33.2,N/A,
178,Cal Poly,BW,35,16,108.9,110.5,0.4585,55.2,53.2,20.7,19.1,BW,35,16,108.9,110.5,0.4585,55.2,53.2,20.7,19.1,27.6,33.2,N/A,
179,Rice,Amer,32,13,106.3,107.9,0.4579,48.6,47.8,17.8,14,Amer,32,13,106.3,107.9,0.4579,48.6,47.8,17.8,14,33.7,29.6,N/A,
180,Southern Illinois,MVC,33,14,106.1,107.7,0.4572,51.6,52.6,18.3,15.2,MVC,33,14,106.1,107.7,0.4572,51.6,52.6,18.3,15.2,30.3,28,N/A,
181,UTSA,Amer,31,12,107,108.8,0.4507,49.7,53.3,15.7,20.6,Amer,31,12,107,108.8,0.4507,49.7,53.3,15.7,20.6,27,35.5,N/A,
182,East Carolina,Amer,33,19,106.3,108.2,0.449,48.4,51.7,15.6,17.4,Amer,33,19,106.3,108.2,0.449,48.4,51.7,15.6,17.4,33.8,31.2,N/A,
183,Portland St.,BSky,32,19,100.8,102.7,0.4483,50.5,50,18.4,19.6,BSky,32,19,100.8,102.7,0.4483,50.5,50,18.4,19.6,33.4,30.4,N/A,
184,Miami FL,ACC,31,7,112.5,114.6,0.4479,51.9,57.4,16,15,ACC,31,7,112.5,114.6,0.4479,51.9,57.4,16,15,28.2,30.8,N/A,
185,Drexel,CAA,33,18,103.6,105.6,0.4473,52.2,47.8,18.6,14.4,CAA,33,18,103.6,105.6,0.4473,52.2,47.8,18.6,14.4,33,30.1,N/A,
186,Ohio,MAC,32,16,106.4,108.4,0.4473,53.4,52.3,14.9,17.8,MAC,32,16,106.4,108.4,0.4473,53.4,52.3,14.9,17.8,23.9,29,N/A,
187,Montana St.,BSky,33,15,104.7,106.7,0.4462,52.8,48.8,15.1,15.3,BSky,33,15,104.7,106.7,0.4462,52.8,48.8,15.1,15.3,20.7,29.4,N/A,
188,South Carolina St.,MEAC,33,20,102.4,104.4,0.4449,50.8,50.1,19.9,22.8,MEAC,33,20,102.4,104.4,0.4449,50.8,50.1,19.9,22.8,35.7,32.7,N/A,
189,Wyoming,MWC,32,12,103.1,105.2,0.443,50.3,51,19.9,15.8,MWC,32,12,103.1,105.2,0.443,50.3,51,19.9,15.8,30,27.2,N/A,
190,Jacksonville,ASun,32,19,101.2,103.6,0.4346,50.1,50.7,19.3,18.7,ASun,32,19,101.2,103.6,0.4346,50.1,50.7,19.3,18.7,35.3,30.5,N/A,
191,Illinois Chicago,MVC,32,18,105.4,107.9,0.4336,51.1,51.6,17.5,15.8,MVC,32,18,105.4,107.9,0.4336,51.1,51.6,17.5,15.8,30,27.9,N/A,
192,Queens,ASun,33,19,105.9,108.5,0.432,52.3,51.7,18,16,ASun,33,19,105.9,108.5,0.432,52.3,51.7,18,16,31.1,28.7,N/A,
193,Oakland,Horz,34,16,106.3,108.9,0.431,50.1,51.4,18,16.2,Horz,34,16,106.3,108.9,0.431,50.1,51.4,18,16.2,34.1,32.6,N/A,
194,Central Connecticut,NEC,32,25,99,101.5,0.4277,52.2,47.7,17.2,18.1,NEC,32,25,99,101.5,0.4277,52.2,47.7,17.2,18.1,26.5,25.3,N/A,
195,Norfolk St.,MEAC,34,24,106.2,109,0.4254,52.4,49.7,18.3,18.6,MEAC,34,24,106.2,109,0.4254,52.4,49.7,18.3,18.6,32.8,33.8,16,
196,Northeastern,CAA,32,17,103.9,106.9,0.418,51.1,50.3,18.6,18.2,CAA,32,17,103.9,106.9,0.418,51.1,50.3,18.6,18.2,31.4,31.4,N/A,
197,Southeast Missouri St.,OVC,33,21,101.5,104.5,0.4175,51.3,47.6,15.4,19,OVC,33,21,101.5,104.5,0.4175,51.3,47.6,15.4,19,24,28.7,N/A,
198,Pepperdine,WCC,35,13,106.3,109.5,0.4163,49.6,52.5,16.1,15.3,WCC,35,13,106.3,109.5,0.4163,49.6,52.5,16.1,15.3,27.7,30,N/A,
199,Merrimack,MAAC,33,18,98.3,101.3,0.4163,49.4,46.9,13.8,23.2,MAAC,33,18,98.3,101.3,0.4163,49.4,46.9,13.8,23.2,20.8,38.6,N/A,
200,Abilene Christian,WAC,32,16,98,101,0.4146,46.7,51.4,20.7,24,WAC,32,16,98,101,0.4146,46.7,51.4,20.7,24,30,31.5,N/A,
201,Brown,Ivy,27,14,102.4,105.6,0.4117,51.1,49.3,17.1,15.7,Ivy,27,14,102.4,105.6,0.4117,51.1,49.3,17.1,15.7,30.1,30.7,N/A,
202,South Florida,Amer,32,13,102.3,105.5,0.411,49.7,49.7,16.2,18.3,Amer,32,13,102.3,105.5,0.411,49.7,49.7,16.2,18.3,27.7,33.2,N/A,
203,Indiana St.,MVC,32,14,108.3,112.1,0.4017,54.6,54.3,19.5,15.8,MVC,32,14,108.3,112.1,0.4017,54.6,54.3,19.5,15.8,26.2,27,N/A,
204,Hampton,CAA,33,17,103.3,107,0.3979,47.5,52.6,16,18.8,CAA,33,17,103.3,107,0.3979,47.5,52.6,16,18.8,34,28.7,N/A,
205,Idaho St.,BSky,30,15,105.8,109.8,0.3965,47.8,54.1,16.3,17.9,BSky,30,15,105.8,109.8,0.3965,47.8,54.1,16.3,17.9,38.3,25.9,N/A,
206,Princeton,Ivy,30,19,103.2,107.1,0.3955,51.5,53.4,15.2,17.3,Ivy,30,19,103.2,107.1,0.3955,51.5,53.4,15.2,17.3,26.2,24.2,N/A,
207,Missouri St.,MVC,32,9,101.7,105.6,0.3947,50.9,54.7,20.7,19.1,MVC,32,9,101.7,105.6,0.3947,50.9,54.7,20.7,19.1,32,28.4,N/A,
208,Southeastern Louisiana,Slnd,32,18,104.1,108.1,0.3932,49.2,51.4,17.4,18.8,Slnd,32,18,104.1,108.1,0.3932,49.2,51.4,17.4,18.8,30.9,29.4,N/A,
209,La Salle,A10,33,14,103.3,107.3,0.3921,46.1,52.6,15.5,16.7,A10,33,14,103.3,107.3,0.3921,46.1,52.6,15.5,16.7,30.5,29.5,N/A,
210,Texas St.,SB,32,16,108.1,112.4,0.3899,50.7,49.9,18.1,16.1,SB,32,16,108.1,112.4,0.3899,50.7,49.9,18.1,16.1,35.2,31.5,N/A,
211,Quinnipiac,MAAC,33,20,101.8,105.9,0.3899,48.4,49.5,17.9,17.1,MAAC,33,20,101.8,105.9,0.3899,48.4,49.5,17.9,17.1,33.5,26,N/A,
212,Massachusetts,A10,32,12,101.6,105.7,0.3891,45.1,49.8,16.1,17.5,A10,32,12,101.6,105.7,0.3891,45.1,49.8,16.1,17.5,34.3,31,N/A,
213,Youngstown St.,Horz,34,21,102.3,106.4,0.3879,49.8,48.8,17.6,18,Horz,34,21,102.3,106.4,0.3879,49.8,48.8,17.6,18,29.3,31.2,N/A,
214,Bucknell,Pat,33,18,103.4,107.7,0.3856,53.8,50.3,18.6,17,Pat,33,18,103.4,107.7,0.3856,53.8,50.3,18.6,17,26,28,N/A,
215,Southern,SWAC,32,20,98.5,102.7,0.3836,47.2,49.2,18.5,21.1,SWAC,32,20,98.5,102.7,0.3836,47.2,49.2,18.5,21.1,34.4,28.5,N/A,
216,Fordham,A10,33,12,106.3,110.9,0.381,48.6,52.8,18.4,16.7,A10,33,12,106.3,110.9,0.381,48.6,52.8,18.4,16.7,31.5,30.6,N/A,
217,Seton Hall,BE,32,7,97.5,101.7,0.3809,44.7,54.6,19.1,22.2,BE,32,7,97.5,101.7,0.3809,44.7,54.6,19.1,22.2,31.2,31.8,N/A,
218,SIU Edwardsville,OVC,33,22,101.3,105.7,0.3796,48.9,47.5,17.1,17.3,OVC,33,22,101.3,105.7,0.3796,48.9,47.5,17.1,17.3,31.8,29.1,16,
219,Valparaiso,MVC,34,15,105.1,109.8,0.3789,47.7,53.7,14,17.1,MVC,34,15,105.1,109.8,0.3789,47.7,53.7,14,17.1,26.5,28.5,N/A,
220,Wright St.,Horz,33,15,108.5,113.3,0.3785,56.3,53.2,17.8,14.2,Horz,33,15,108.5,113.3,0.3785,56.3,53.2,17.8,14.2,28,27.9,N/A,
221,William & Mary,CAA,32,17,106.4,111.2,0.3761,53.7,53.5,18.1,17.6,CAA,32,17,106.4,111.2,0.3761,53.7,53.5,18.1,17.6,26.2,30.2,N/A,
222,Central Michigan,MAC,31,14,104.7,109.4,0.3754,49.8,53.1,17.6,18.2,MAC,31,14,104.7,109.4,0.3754,49.8,53.1,17.6,18.2,32.1,29.1,N/A,
223,Campbell,CAA,32,15,101.2,105.9,0.3724,50,52.4,15.8,18.8,CAA,32,15,101.2,105.9,0.3724,50,52.4,15.8,18.8,24.6,27.7,N/A,
224,Richmond,A10,32,10,103.5,108.4,0.372,48.4,52.7,15.4,15.8,A10,32,10,103.5,108.4,0.372,48.4,52.7,15.4,15.8,19.3,27.7,N/A,
225,Northwestern St.,Slnd,32,16,102,107,0.3667,48.7,49.8,20.2,17.4,Slnd,32,16,102,107,0.3667,48.7,49.8,20.2,17.4,33.1,32.6,N/A,
226,UNC Asheville,BSth,32,21,107.1,112.3,0.3666,52,53.4,14.8,18,BSth,32,21,107.1,112.3,0.3666,52,53.4,14.8,18,29.7,34.1,N/A,
227,Hofstra,CAA,33,15,97.8,102.5,0.3662,48.9,45.9,17.6,16.4,CAA,33,15,97.8,102.5,0.3662,48.9,45.9,17.6,16.4,25.8,28.6,N/A,
228,Elon,CAA,32,17,106,111.3,0.3627,50.2,48.1,19,13.3,CAA,32,17,106,111.3,0.3627,50.2,48.1,19,13.3,36.3,31.4,N/A,
229,UMKC,Sum,33,13,100.5,105.5,0.3624,48.4,51.2,18.6,17.1,Sum,33,13,100.5,105.5,0.3624,48.4,51.2,18.6,17.1,32.8,29.7,N/A,
230,Longwood,BSth,32,18,105,110.3,0.3608,51.3,55.9,18,20.7,BSth,32,18,105,110.3,0.3608,51.3,55.9,18,20.7,32.1,29.6,N/A,
231,Hawaii,BW,31,15,102.1,107.4,0.3606,50.6,49.5,20.7,13.1,BW,31,15,102.1,107.4,0.3606,50.6,49.5,20.7,13.1,31,24.9,N/A,
232,Tennessee St.,OVC,33,17,102.9,108.2,0.3602,51.3,48.8,21.1,17.4,OVC,33,17,102.9,108.2,0.3602,51.3,48.8,21.1,17.4,33.8,30.3,N/A,
233,Vermont,AE,33,21,99.5,104.7,0.3577,49,48.8,17.3,15.7,AE,33,21,99.5,104.7,0.3577,49,48.8,17.3,15.7,26.2,25.8,N/A,
234,Maine,AE,34,20,99,104.2,0.3572,51.6,50.4,15.5,21.9,AE,34,20,99,104.2,0.3572,51.6,50.4,15.5,21.9,21.8,32.3,N/A,
235,Delaware,CAA,36,16,108.9,114.6,0.3563,55.1,52.2,16.6,15.5,CAA,36,16,108.9,114.6,0.3563,55.1,52.2,16.6,15.5,22.4,32.5,N/A,
236,UT Rio Grande Valley,Slnd,31,16,104.5,110,0.3561,51.7,51.4,19.2,17.6,Slnd,31,16,104.5,110,0.3561,51.7,51.4,19.2,17.6,30.8,33.9,N/A,
237,South Dakota,Sum,33,19,108.4,114.2,0.3522,50.1,54.8,12.6,17.3,Sum,33,19,108.4,114.2,0.3522,50.1,54.8,12.6,17.3,30,35.7,N/A,
238,Harvard,Ivy,27,12,102,107.8,0.3451,50.6,52.2,18,17.7,Ivy,27,12,102,107.8,0.3451,50.6,52.2,18,17.7,25,31.1,N/A,
239,UT Arlington,WAC,31,13,106.4,112.5,0.3443,51.7,50.4,19.2,16.4,WAC,31,13,106.4,112.5,0.3443,51.7,50.4,19.2,16.4,32.8,32.5,N/A,
240,Tulsa,Amer,33,13,101.9,107.9,0.3415,49.5,49.7,16.9,14.4,Amer,33,13,101.9,107.9,0.3415,49.5,49.7,16.9,14.4,27.2,31.1,N/A,
241,North Dakota,Sum,33,12,107.9,114.4,0.3388,49.7,56.5,16.6,15,Sum,33,12,107.9,114.4,0.3388,49.7,56.5,16.6,15,33.7,28.7,N/A,
242,Iona,MAAC,34,17,99.4,105.4,0.3361,47.5,51.7,20.9,22.8,MAAC,34,17,99.4,105.4,0.3361,47.5,51.7,20.9,22.8,39.1,30.9,N/A,
